Time,total_fraction_lambda_H
0,-nan
0.25,-nan
0.5,-nan
0.75,-nan
1,-nan
1.25,0.999995
1.5,0
1.75,-nan
2,0.943854
2.25,0.999998
2.5,0.999996
2.75,0.981835
3,0
3.25,0.994877
3.5,0.951198
3.75,0.997151
4,0.996908
4.25,0.99999
4.5,0.909393
4.75,0.911033
5,0
5.25,0.998054
5.5,0.994657
5.75,0.940669
6,0.999991
6.25,0.821336
6.5,0
6.75,0.983462
7,0.997113
7.25,0.999246
7.5,0.981442
7.75,0.997733
8,0
8.25,0.999994
8.5,0
8.75,0.995826
9,0.813762
9.25,0.513515
9.5,0
9.75,0.956459
10,0.965002
10.25,0
10.5,0.999992
10.75,0
11,0.929483
11.25,0.999995
11.5,0.982592
11.75,0.981777
12,0.987634
12.25,0.989338
12.5,0.445992
12.75,0.970821
13,0.988343
13.25,0.955366
13.5,0.948519
13.75,0.827175
14,0.926547
14.25,0
14.5,0.929722
14.75,0.260077
15,0.999988
15.25,0
15.5,0
15.75,0.964035
16,0.995932
16.25,0.924689
16.5,0.77565
16.75,0.884986
17,0.9913
17.25,0.869494
17.5,0.920233
17.75,0.932834
18,0.963155
18.25,0.986871
18.5,0.999989
18.75,0
19,0.987333
19.25,0.965529
19.5,0.973978
19.75,0.917848
20,0.711194
20.25,0.980396
20.5,0.983085
20.75,0.647002
21,0.956247
21.25,0
21.5,0.771965
21.75,0.935007
22,0.178926
22.25,0.84962
22.5,0.977685
22.75,0.978866
23,0.997054
23.25,0.557997
23.5,0.991284
23.75,0.997682
24,0
24.25,0
24.5,0.89757
24.75,0.893021
25,0.903075
25.25,0.944174
25.5,0.991841
25.75,0.981864
26,0.489402
26.25,0.819799
26.5,0.700863
26.75,0.940175
27,0.862726
27.25,0.899901
27.5,0.954491
27.75,0.946826
28,0.858719
28.25,0.944269
28.5,0.963565
28.75,0.977637
29,0.975182
29.25,0.963678
29.5,0.940467
29.75,0.954667
30,0.807389
30.25,0.687882
30.5,0.926087
30.75,0.955684
31,0.970161
31.25,0.949934
31.5,0
31.75,0.988272
32,0.960451
32.25,0.967508
32.5,0.865701
32.75,0.944881
33,0.932823
33.25,0.910842
33.5,0.963388
33.75,0.980499
34,0.943847
34.25,0.995699
34.5,0.91676
34.75,0.84204
35,0.987356
35.25,0.935606
35.5,0.952534
35.75,0.974896
36,0.974706
36.25,0.91231
36.5,0.955423
36.75,0.92223
37,0.934502
37.25,0.966903
37.5,0.995734
37.75,0.975911
38,0.946341
38.25,0.97269
38.5,0.986064
38.75,0.900552
39,0.968007
39.25,0.977103
39.5,0.894803
39.75,0.886849
40,0.955197
40.25,0.971711
40.5,0.969392
40.75,0.859814
41,0.634405
41.25,0.980405
41.5,0.939537
41.75,0.981815
42,0.966446
42.25,0.9647
42.5,0.997422
42.75,0.991002
43,0.828914
43.25,0.902442
43.5,0.838045
43.75,0.96792
44,0.987405
44.25,0.950294
44.5,0.954804
44.75,0.969371
45,0.991883
45.25,0.936898
45.5,0.955782
45.75,0.949273
46,0.856058
46.25,0.688873
46.5,0.931292
46.75,0.880599
47,0.29104
47.25,0.851895
47.5,0.860381
47.75,0.881277
48,0.932747
48.25,0.935347
48.5,0.906433
48.75,0.970083
49,0.923104
49.25,0.866713
49.5,0.961663
49.75,0.969957
50,0.894182
50.25,0.973341
50.5,0.936702
50.75,0.963266
51,0.918345
51.25,0.950265
51.5,0.926707
51.75,0.979547
52,0.913131
52.25,0.934807
52.5,0.965964
52.75,0.966102
53,0.881879
53.25,0.859331
53.5,0.962728
53.75,0.854012
54,0.962888
54.25,0.954836
54.5,0.88841
54.75,0.968266
55,0.916254
55.25,0.927187
55.5,0.975481
55.75,0.938251
56,0.955473
56.25,0.940019
56.5,0.881811
56.75,0.896101
57,0.918984
57.25,0.956167
57.5,0.875227
57.75,0.947767
58,0.857231
58.25,0.914584
58.5,0.945598
58.75,0.940901
59,0.973547
59.25,0.940129
59.5,0.874277
59.75,0.937936
60,0.943833
60.25,0.907698
60.5,0.860696
60.75,0.835696
61,0.94723
61.25,0.884349
61.5,0.902112
61.75,0.816497
62,0.956289
62.25,0.880781
62.5,0.892332
62.75,0.933764
63,0.946098
63.25,0.940652
63.5,0.953074
63.75,0.871815
64,0.915264
64.25,0.894006
64.5,0.938104
64.75,0.8583
65,0.886658
65.25,0.88421
65.5,0.953769
65.75,0.910149
66,0.942935
66.25,0.930763
66.5,0.806787
66.75,0.863545
67,0.836633
67.25,0.911231
67.5,0.939882
67.75,0.888701
68,0.782833
68.25,0.919895
68.5,0.881275
68.75,0.815094
69,0.893719
69.25,0.898189
69.5,0.865494
69.75,0.890101
70,0.929435
70.25,0.950776
70.5,0.979968
70.75,0.969483
71,0.977618
71.25,0.973383
71.5,0.970016
71.75,0.99431
72,0.982489
72.25,0.964825
72.5,0.991542
72.75,0.983069
73,0.958861
73.25,0.9394
73.5,0.979147
73.75,0.988887
74,0.910381
74.25,0.983264
74.5,0.923131
74.75,0.970141
75,0.948868
75.25,0.965655
75.5,0.93002
75.75,0.963976
76,0.96123
76.25,0.921245
76.5,0.93229
76.75,0.953583
77,0.978294
77.25,0.944025
77.5,0.96402
77.75,0.949165
78,0.919417
78.25,0.931868
78.5,0.906453
78.75,0.87826
79,0.969887
79.25,0.954305
79.5,0.819168
79.75,0.861234
80,0.959534
80.25,0.9437
80.5,0.95667
80.75,0.843939
81,0.815584
81.25,0.934858
81.5,0.956017
81.75,0.957948
82,0.952643
82.25,0.972024
82.5,0.971157
82.75,0.791026
83,0.903006
83.25,0.937996
83.5,0.905578
83.75,0.905294
84,0.807673
84.25,0.96368
84.5,0.971271
84.75,0.928638
85,0.972899
85.25,0.974665
85.5,0.957506
85.75,0.988815
86,0.98005
86.25,0.980709
86.5,0.953532
86.75,0.98389
87,0.952674
87.25,0.976066
87.5,0.95012
87.75,0.962308
88,0.977924
88.25,0.967667
88.5,0.947649
88.75,0.951419
