Time,susceptible_lambda_H
0,0
0.25,0
0.5,0.219882
0.75,1.29242
1,2.04958
1.25,4.40568
1.5,5.99516
1.75,7.15018
2,10.5613
2.25,9.25421
2.5,8.99707
2.75,7.71716
3,7.70406
3.25,7.42121
3.5,7.54352
3.75,6.74346
4,4.64234
4.25,5.81881
4.5,5.89432
4.75,5.50832
5,8.14524
5.25,8.59392
5.5,7.18872
5.75,7.50902
6,8.86617
6.25,10.7261
6.5,10.6552
6.75,6.19368
7,5.61241
7.25,6.94452
7.5,6.17207
7.75,4.24157
8,7.93556
8.25,6.5744
8.5,4.98629
8.75,4.34283
9,4.10843
9.25,5.37288
9.5,6.58717
9.75,6.30393
10,6.40909
10.25,6.54231
10.5,3.02584
10.75,5.97742
11,8.77481
11.25,8.67391
11.5,9.77302
11.75,10.7007
12,8.10741
12.25,4.95618
12.5,5.31403
12.75,3.91084
13,4.16129
13.25,6.19166
13.5,6.88212
13.75,7.47418
14,6.0658
14.25,8.02906
14.5,6.38404
14.75,4.38097
15,4.03063
15.25,8.31842
15.5,7.14127
15.75,7.03769
16,3.75395
16.25,3.46411
16.5,7.31463
16.75,7.30308
17,7.44861
17.25,8.38273
17.5,5.97088
17.75,6.77707
18,6.64958
18.25,5.71914
18.5,8.43886
18.75,11.8649
19,10.9762
19.25,14.2941
19.5,12.7578
19.75,14.2539
20,16.9193
20.25,15.097
20.5,11.827
20.75,12.5446
21,13.0896
21.25,10.7597
21.5,11.6182
21.75,9.94848
22,8.74975
22.25,18.8577
22.5,12.6779
22.75,7.39388
23,9.53928
23.25,8.99813
23.5,7.129
23.75,5.3115
24,5.96493
24.25,8.5997
24.5,7.66495
24.75,8.17685
25,7.93476
25.25,21.6609
25.5,14.2863
25.75,11.0861
26,10.4284
26.25,10.7289
26.5,13.6729
26.75,12.7401
27,17.8146
27.25,15.2923
27.5,19.1044
27.75,15.3078
28,15.6394
28.25,15.4217
28.5,18.8555
28.75,12.5716
29,21.8984
29.25,12.8717
29.5,17.5566
29.75,13.9073
30,13.9963
30.25,17.0075
30.5,11.8033
30.75,13.6287
31,10.8696
31.25,10.5185
31.5,14.6482
31.75,13.0915
32,13.4621
32.25,12.2332
32.5,17.5025
32.75,17.9954
33,24.1039
33.25,24.5221
33.5,21.2689
33.75,19.9538
34,19.7694
34.25,15.562
34.5,26.374
34.75,24.4211
35,31.0495
35.25,35.8249
35.5,32.1731
35.75,32.3912
36,32.9806
36.25,32.7921
36.5,23.8294
36.75,22.7492
37,25.3783
37.25,27.869
37.5,32.816
37.75,25.7395
38,27.4477
38.25,27.326
38.5,23.5152
38.75,25.4541
39,24.8137
39.25,21.6607
39.5,20.3838
39.75,23.4821
40,17.9826
40.25,19.734
40.5,19.7908
40.75,16.5256
41,18.7018
41.25,18.262
41.5,32.1011
41.75,31.0538
42,29.5337
42.25,27.2897
42.5,27.7991
42.75,26.3781
43,28.1268
43.25,31.5776
43.5,40.1332
43.75,33.0848
44,25.6701
44.25,23.7511
44.5,25.4164
44.75,44.9847
45,41.2901
45.25,34.1018
45.5,28.3703
45.75,24.9056
46,18.795
46.25,24.8612
46.5,21.3643
46.75,18.3442
47,24.7065
47.25,26.2475
47.5,33.5987
47.75,36.8332
48,45.4636
48.25,37.4828
48.5,38.4448
48.75,37.8287
49,42.1855
49.25,51.2955
49.5,49.29
49.75,50.907
50,48.3815
50.25,41.0319
50.5,41.5885
50.75,37.7808
51,39.01
51.25,32.6576
51.5,38.4019
51.75,46.371
52,42.796
52.25,49.149
52.5,54.9466
52.75,50.9383
53,48.1101
53.25,58.9516
53.5,53.0779
53.75,48.5313
54,51.3682
54.25,47.8309
54.5,67.6951
54.75,60.7192
55,56.4517
55.25,57.8151
55.5,54.8031
55.75,58.9093
56,53.3024
56.25,58.1149
56.5,57.9146
56.75,54.8355
57,68.7458
57.25,59.3479
57.5,57.5484
57.75,56.5317
58,57.5439
58.25,62.9171
58.5,69.8999
58.75,67.7721
59,71.5595
59.25,87.4485
59.5,92.0257
59.75,112.41
60,85.0757
60.25,74.5755
60.5,81.0308
60.75,72.9115
61,63.9715
61.25,58.1774
61.5,71.0822
61.75,79.8269
