Time,num_infected
0,0
0.25,8
0.5,16
0.75,23
1,28
1.25,32
1.5,33
1.75,31
2,34
2.25,34
2.5,33
2.75,35
3,38
3.25,40
3.5,42
3.75,41
4,40
4.25,41
4.5,38
4.75,40
5,41
5.25,40
5.5,40
5.75,42
6,44
6.25,44
6.5,47
6.75,46
7,50
7.25,50
7.5,47
7.75,49
8,50
8.25,48
8.5,50
8.75,49
9,45
9.25,47
9.5,48
9.75,53
10,54
10.25,54
10.5,53
10.75,53
11,56
11.25,59
11.5,56
11.75,54
12,55
12.25,56
12.5,54
12.75,54
13,56
13.25,55
13.5,51
13.75,52
14,55
14.25,48
14.5,49
14.75,51
15,56
15.25,56
15.5,54
15.75,54
16,57
16.25,62
16.5,65
16.75,68
17,68
17.25,70
17.5,67
17.75,68
18,73
18.25,70
18.5,69
18.75,74
19,76
19.25,79
19.5,80
19.75,82
20,84
20.25,87
20.5,92
20.75,92
21,95
21.25,94
21.5,93
21.75,87
22,91
22.25,88
22.5,95
22.75,91
23,91
23.25,94
23.5,93
23.75,94
24,99
24.25,95
24.5,98
24.75,103
25,104
25.25,108
25.5,102
25.75,105
26,107
26.25,113
26.5,113
26.75,113
27,109
27.25,113
27.5,115
27.75,116
28,121
28.25,117
28.5,117
28.75,117
29,120
29.25,122
29.5,117
29.75,120
30,126
30.25,116
30.5,120
30.75,117
31,121
31.25,120
31.5,125
31.75,135
32,142
32.25,149
32.5,153
32.75,155
33,153
33.25,153
33.5,153
33.75,152
34,154
34.25,153
34.5,153
34.75,156
35,161
35.25,169
35.5,179
35.75,182
36,182
36.25,182
36.5,183
36.75,188
37,185
37.25,191
37.5,191
37.75,191
38,200
38.25,197
38.5,197
38.75,202
39,202
39.25,207
39.5,209
39.75,216
40,215
40.25,217
40.5,213
40.75,223
41,229
41.25,237
41.5,243
41.75,245
42,243
42.25,251
42.5,261
42.75,265
43,269
43.25,278
43.5,284
43.75,268
44,270
44.25,261
44.5,268
44.75,273
45,283
45.25,285
45.5,281
45.75,291
46,293
46.25,289
46.5,295
46.75,297
47,289
47.25,295
47.5,289
47.75,292
48,301
48.25,299
48.5,307
48.75,305
49,314
49.25,324
49.5,329
49.75,330
50,327
50.25,335
50.5,337
50.75,334
51,337
51.25,336
51.5,342
51.75,351
52,365
52.25,359
52.5,365
52.75,359
53,369
53.25,372
53.5,368
53.75,379
54,375
54.25,377
54.5,384
54.75,387
55,386
55.25,399
55.5,411
55.75,412
56,416
56.25,434
56.5,438
56.75,448
57,462
57.25,468
57.5,487
57.75,501
58,512
58.25,520
58.5,516
58.75,530
59,527
59.25,534
59.5,541
59.75,546
60,557
60.25,562
60.5,569
60.75,586
61,583
61.25,595
61.5,614
61.75,638
62,655
62.25,676
62.5,682
62.75,688
63,705
63.25,725
63.5,736
63.75,746
64,777
64.25,811
64.5,829
64.75,830
65,840
65.25,846
65.5,866
65.75,867
66,866
66.25,859
66.5,865
66.75,873
67,888
67.25,896
67.5,903
67.75,908
68,931
68.25,951
68.5,958
68.75,985
69,1013
69.25,1028
69.5,1037
69.75,1065
70,1089
70.25,1095
70.5,1118
70.75,1124
71,1155
71.25,1159
71.5,1167
71.75,1186
72,1205
72.25,1208
72.5,1214
72.75,1220
73,1213
73.25,1220
73.5,1217
73.75,1234
74,1230
74.25,1225
74.5,1247
74.75,1245
75,1232
75.25,1214
75.5,1206
75.75,1192
76,1191
76.25,1193
76.5,1205
76.75,1178
77,1184
77.25,1179
77.5,1177
77.75,1169
78,1175
78.25,1159
78.5,1124
78.75,1131
79,1127
79.25,1116
79.5,1122
79.75,1110
80,1106
80.25,1080
80.5,1065
80.75,1047
81,1045
81.25,1019
81.5,1015
81.75,1027
82,1016
82.25,1012
82.5,1006
82.75,980
83,961
83.25,948
83.5,939
83.75,923
84,919
84.25,900
84.5,897
84.75,878
85,885
85.25,871
85.5,845
85.75,829
86,823
86.25,807
86.5,789
86.75,777
87,772
87.25,766
87.5,756
87.75,744
88,734
88.25,722
88.5,713
88.75,711
89,690
89.25,687
89.5,681
89.75,674
90,658
90.25,652
90.5,638
90.75,623
91,618
91.25,612
91.5,593
91.75,591
92,572
92.25,560
92.5,554
92.75,553
93,540
93.25,534
93.5,526
93.75,509
94,514
94.25,499
94.5,478
94.75,462
95,456
95.25,458
95.5,461
95.75,460
96,447
96.25,437
96.5,422
96.75,404
97,409
97.25,397
97.5,394
97.75,392
98,395
98.25,386
98.5,396
98.75,378
99,371
99.25,363
99.5,349
99.75,349
100,338
100.25,328
100.5,327
100.75,326
101,325
101.25,318
101.5,303
101.75,292
102,287
102.25,290
102.5,289
102.75,287
103,282
103.25,274
103.5,273
103.75,269
104,272
104.25,273
104.5,274
104.75,268
105,270
105.25,277
105.5,282
105.75,281
106,273
106.25,270
106.5,270
106.75,270
107,267
107.25,263
107.5,259
107.75,257
108,255
108.25,247
108.5,244
108.75,239
109,234
109.25,229
109.5,218
109.75,214
110,210
110.25,210
110.5,210
