Time,num_hospitalised
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,1
3.75,1
4,1
4.25,1
4.5,1
4.75,1
5,1
5.25,1
5.5,1
5.75,1
6,1
6.25,1
6.5,1
6.75,2
7,2
7.25,2
7.5,3
7.75,3
8,3
8.25,3
8.5,3
8.75,3
9,3
9.25,3
9.5,3
9.75,4
10,4
10.25,4
10.5,4
10.75,4
11,4
11.25,4
11.5,3
11.75,3
12,3
12.25,3
12.5,3
12.75,3
13,3
13.25,3
13.5,3
13.75,3
14,3
14.25,3
14.5,4
14.75,3
15,3
15.25,3
15.5,2
15.75,2
16,2
16.25,2
16.5,3
16.75,3
17,3
17.25,3
17.5,3
17.75,2
18,2
18.25,2
18.5,2
18.75,2
19,2
19.25,2
19.5,2
19.75,2
20,2
20.25,2
20.5,2
20.75,2
21,3
21.25,3
21.5,4
21.75,4
22,4
22.25,4
22.5,4
22.75,4
23,4
23.25,4
23.5,4
23.75,4
24,4
24.25,4
24.5,4
24.75,4
25,5
25.25,5
25.5,5
25.75,5
26,6
26.25,6
26.5,6
26.75,6
27,6
27.25,6
27.5,6
27.75,6
28,6
28.25,7
28.5,8
28.75,8
29,7
29.25,7
29.5,7
29.75,7
30,8
30.25,8
30.5,7
30.75,8
31,8
31.25,9
31.5,9
31.75,10
32,10
32.25,10
32.5,9
32.75,9
33,8
33.25,8
33.5,8
33.75,8
34,7
34.25,8
34.5,8
34.75,8
35,8
35.25,8
35.5,8
35.75,9
36,10
36.25,9
36.5,8
36.75,8
37,11
37.25,11
37.5,10
37.75,10
38,9
38.25,9
38.5,9
38.75,9
39,9
39.25,9
39.5,8
39.75,10
40,10
40.25,10
40.5,10
40.75,10
41,10
41.25,11
41.5,11
41.75,11
42,11
42.25,10
42.5,11
42.75,14
43,14
43.25,14
43.5,15
43.75,15
44,15
44.25,16
44.5,17
44.75,17
45,15
45.25,15
45.5,15
45.75,15
46,15
46.25,16
46.5,16
46.75,15
47,16
47.25,16
47.5,15
47.75,14
48,14
48.25,14
48.5,14
48.75,14
49,14
49.25,14
49.5,17
49.75,17
50,19
50.25,20
50.5,19
50.75,19
51,19
51.25,19
51.5,18
51.75,17
52,17
52.25,16
52.5,16
52.75,17
53,16
53.25,16
53.5,17
53.75,17
54,17
54.25,16
54.5,17
54.75,17
55,17
55.25,16
55.5,18
55.75,18
56,20
56.25,21
56.5,21
56.75,22
57,26
57.25,27
57.5,24
57.75,25
58,23
58.25,24
58.5,24
58.75,22
59,23
59.25,23
59.5,25
59.75,27
60,27
60.25,29
60.5,28
60.75,29
61,30
61.25,31
61.5,33
61.75,33
62,35
62.25,38
62.5,37
62.75,37
63,39
63.25,40
63.5,39
63.75,38
64,39
64.25,38
64.5,39
64.75,40
65,39
65.25,40
65.5,42
65.75,42
66,45
66.25,45
66.5,45
66.75,47
67,47
67.25,48
67.5,48
67.75,50
68,53
68.25,52
68.5,54
68.75,53
69,55
69.25,57
69.5,57
69.75,59
70,57
70.25,55
70.5,58
70.75,59
71,56
71.25,57
71.5,58
71.75,59
72,62
72.25,64
72.5,63
72.75,63
73,62
73.25,63
73.5,60
73.75,61
74,61
74.25,63
74.5,66
74.75,65
75,67
75.25,68
75.5,67
75.75,70
76,71
76.25,70
76.5,71
76.75,75
77,79
77.25,78
77.5,78
77.75,81
78,82
78.25,83
78.5,83
78.75,85
79,87
79.25,88
79.5,88
79.75,89
80,88
80.25,88
80.5,91
80.75,90
81,88
81.25,86
81.5,89
81.75,90
82,87
82.25,89
82.5,88
82.75,88
83,86
83.25,88
83.5,87
83.75,83
84,80
84.25,83
84.5,82
84.75,78
85,72
85.25,72
85.5,73
85.75,71
86,71
86.25,71
86.5,71
86.75,70
87,70
87.25,67
87.5,67
87.75,68
88,67
88.25,69
88.5,69
88.75,71
89,74
89.25,75
89.5,72
89.75,71
90,71
90.25,70
90.5,69
90.75,70
91,69
91.25,69
91.5,71
91.75,71
92,70
92.25,68
92.5,68
92.75,69
93,68
93.25,67
93.5,63
93.75,60
94,59
94.25,57
94.5,54
