Time,mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0.999995
1.5,0
1.75,0
2,0.499994
2.25,0.999998
2.5,0.999995
2.75,0.399999
3,0
3.25,0.499997
3.5,0.499998
3.75,0.499998
4,0.249999
4.25,0.99999
4.5,0.166666
4.75,0.199998
5,0
5.25,0.599997
5.5,0.333333
5.75,0.399998
6,0.749992
6.25,0.19999
6.5,0
6.75,0.399997
7,0.249998
7.25,0.666632
7.5,0.399997
7.75,0.599996
8,0
8.25,0.999994
8.5,0
8.75,0.333332
9,0.499978
9.25,0.199977
9.5,0
9.75,0.2
10,0.499989
10.25,0
10.5,0.666663
10.75,0
11,0.428566
11.25,0.999995
11.5,0.499992
11.75,0.428569
12,0.333325
12.25,0.428567
12.5,0.249987
12.75,0.666655
13,0.499999
13.25,0.333323
13.5,0.428564
13.75,0.199997
14,0.24998
14.25,0
14.5,0.374996
14.75,0.111106
15,0.999988
15.25,0
15.5,0
15.75,0.37499
16,0.71379
16.25,0.166667
16.5,0.249861
16.75,0.249989
17,0.49999
17.25,0.166667
17.5,0.333326
17.75,0.166666
18,0.199999
18.25,0.333329
18.5,0.99999
18.75,0
19,0.285714
19.25,0.399996
19.5,0.499978
19.75,0.166666
20,0.248849
20.25,0.399995
20.5,0.444437
20.75,0.42795
21,0.181817
21.25,0
21.5,0.333316
21.75,0.199992
22,0.124997
22.25,0.299995
22.5,0.499185
22.75,0.426572
23,0.428568
23.25,0.428551
23.5,0.333318
23.75,0.992329
24,0
24.25,0
24.5,0.307686
24.75,0.199996
25,0.249996
25.25,0.444436
25.5,0.53669
25.75,0.266557
26,0.11111
26.25,0.166659
26.5,0.153845
26.75,0.597098
27,0.437473
27.25,0.299996
27.5,0.571406
27.75,0.249998
28,0.285676
28.25,0.411852
28.5,0.272725
28.75,0.43746
29,0.249998
29.25,0.199994
29.5,0.28571
29.75,0.379821
30,0.266661
30.25,0.142855
30.5,0.34999
30.75,0.398912
31,0.333076
31.25,0.272673
31.5,0
31.75,0.384606
32,0.307641
32.25,0.352923
32.5,0.124992
32.75,0.199996
33,0.214277
33.25,0.304336
33.5,0.33331
33.75,0.357137
34,0.271388
34.25,0.416616
34.5,0.199994
34.75,0.249987
35,0.49998
35.25,0.0999993
35.5,0.349995
35.75,0.305423
36,0.214276
36.25,0.192274
36.5,0.285702
36.75,0.173902
37,0.294061
37.25,0.190473
37.5,0.384591
37.75,0.332963
38,0.178562
38.25,0.291339
38.5,0.399954
38.75,0.217337
39,0.363602
39.25,0.299825
39.5,0.210506
39.75,0.26315
40,0.315255
40.25,0.245755
40.5,0.263074
40.75,0.347768
41,0.111094
41.25,0.384525
41.5,0.148143
41.75,0.45827
42,0.386242
42.25,0.204931
42.5,0.428554
42.75,0.299995
43,0.133331
43.25,0.149993
43.5,0.178562
43.75,0.323465
44,0.48568
44.25,0.228537
44.5,0.529373
44.75,0.693907
45,0.399897
45.25,0.333272
45.5,0.296273
45.75,0.25901
46,0.269148
46.25,0.0769213
46.5,0.299974
46.75,0.333313
47,0.0999919
47.25,0.227222
47.5,0.310313
47.75,0.277758
48,0.399953
48.25,0.359969
48.5,0.304317
48.75,0.304336
49,0.249985
49.25,0.333311
49.5,0.361099
49.75,0.399903
50,0.325562
50.25,0.48146
50.5,0.348776
50.75,0.361075
51,0.349975
51.25,0.321323
51.5,0.343697
51.75,0.496427
52,0.357082
52.25,0.193529
52.5,0.449942
52.75,0.384576
53,0.205118
53.25,0.269216
53.5,0.348552
53.75,0.235276
54,0.36822
54.25,0.317053
54.5,0.349836
54.75,0.322562
55,0.340758
55.25,0.307647
55.5,0.428448
55.75,0.187494
56,0.3958
56.25,0.346908
56.5,0.307657
56.75,0.235251
57,0.402078
57.25,0.346899
57.5,0.237834
57.75,0.361061
58,0.232531
58.25,0.275731
58.5,0.339244
58.75,0.301805
59,0.293986
59.25,0.360543
59.5,0.189143
59.75,0.350397
60,0.350602
60.25,0.324786
60.5,0.236325
60.75,0.269745
61,0.26413
61.25,0.299822
61.5,0.253934
61.75,0.253647
62,0.357996
62.25,0.294079
62.5,0.289739
62.75,0.300777
63,0.264985
