Time,cumulative_mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0.999995
1.5,0.499997
1.75,0.499997
2,0.499995
2.25,0.571424
2.5,0.727268
2.75,0.624997
3,0.526313
3.25,0.521736
3.5,0.518516
3.75,0.516126
4,0.485712
4.25,0.499997
4.5,0.452379
4.75,0.42553
5,0.392155
5.25,0.410712
5.5,0.403224
5.75,0.402983
6,0.422533
6.25,0.407892
6.5,0.397433
6.75,0.397588
7,0.390802
7.25,0.399996
7.5,0.399996
7.75,0.409996
8,0.394227
8.25,0.399996
8.5,0.381815
8.75,0.380528
9,0.384611
9.25,0.377044
9.5,0.365075
9.75,0.358774
10,0.362958
10.25,0.349995
10.5,0.356639
10.75,0.354162
11,0.357611
11.25,0.361838
11.5,0.36538
11.75,0.368094
12,0.366859
12.25,0.369314
12.5,0.366662
12.75,0.376339
13,0.378942
13.25,0.378233
13.5,0.379995
13.75,0.375605
14,0.370886
14.25,0.367436
14.5,0.367707
14.75,0.357753
15,0.360509
15.25,0.354425
15.5,0.351459
15.75,0.352221
16,0.362186
16.25,0.357674
16.5,0.354455
16.75,0.351427
17,0.35355
17.25,0.349629
17.5,0.349132
17.75,0.345495
18,0.343117
18.25,0.343022
18.5,0.349339
18.75,0.347114
19,0.345775
19.25,0.346607
19.5,0.35028
19.75,0.34704
20,0.344783
20.25,0.346325
20.5,0.348731
20.75,0.350214
21,0.345402
21.25,0.342732
21.5,0.342588
21.75,0.339059
22,0.334902
22.25,0.334075
22.5,0.33639
22.75,0.337841
23,0.339278
23.25,0.340669
23.5,0.340525
23.75,0.343359
24,0.340399
24.25,0.336053
24.5,0.33529
24.75,0.332546
25,0.331227
25.25,0.333225
25.5,0.338283
25.75,0.336283
26,0.332578
26.25,0.329016
26.5,0.325035
26.75,0.327393
27,0.330363
27.25,0.329859
27.5,0.332631
27.75,0.331037
28,0.330532
28.25,0.332054
28.5,0.331053
28.75,0.333602
29,0.332613
29.25,0.329734
29.5,0.32886
29.75,0.329782
30,0.328491
30.25,0.325012
30.5,0.325663
30.75,0.326606
31,0.326752
31.25,0.326014
31.5,0.322414
31.75,0.32339
32,0.323147
32.25,0.323737
32.5,0.321901
32.75,0.320509
33,0.318838
33.25,0.318473
33.5,0.318665
33.75,0.319239
34,0.318685
34.25,0.319906
34.5,0.318673
34.75,0.31756
35,0.319388
35.25,0.315078
35.5,0.315751
35.75,0.315594
36,0.314266
36.25,0.311367
36.5,0.310883
36.75,0.308115
37,0.307908
37.25,0.305811
37.5,0.306672
37.75,0.307256
38,0.304359
38.25,0.304113
38.5,0.305601
38.75,0.304053
39,0.305515
39.25,0.305431
39.5,0.304127
39.75,0.303572
40,0.303728
40.25,0.303083
40.5,0.302561
40.75,0.303264
41,0.300953
41.25,0.301672
41.5,0.298975
41.75,0.301425
42,0.302919
42.25,0.301822
42.5,0.302916
42.75,0.302898
43,0.301353
43.25,0.299536
43.5,0.297536
43.75,0.298046
44,0.301771
44.25,0.300707
44.5,0.30286
44.75,0.305013
45,0.306301
45.25,0.306691
45.5,0.306543
45.75,0.305875
46,0.305385
46.25,0.30387
46.5,0.303831
46.75,0.304314
47,0.302305
47.25,0.301502
47.5,0.301624
47.75,0.30142
48,0.302577
48.25,0.303244
48.5,0.303255
48.75,0.303266
49,0.302502
49.25,0.302871
49.5,0.303784
49.75,0.305025
50,0.305398
50.25,0.307384
50.5,0.307913
50.75,0.308691
51,0.309024
51.25,0.309161
51.5,0.309475
51.75,0.311447
52,0.311941
52.25,0.310539
52.5,0.311596
52.75,0.312308
53,0.310761
53.25,0.310366
53.5,0.310917
53.75,0.31
54,0.310819
54.25,0.310907
54.5,0.31144
54.75,0.311557
55,0.312004
55.25,0.31193
55.5,0.313511
55.75,0.311587
56,0.312853
56.25,0.313368
56.5,0.313278
56.75,0.312088
57,0.313571
57.25,0.314044
57.5,0.313127
57.75,0.313764
58,0.312788
58.25,0.312167
58.5,0.312578
58.75,0.312425
59,0.312178
59.25,0.312942
59.5,0.310614
59.75,0.311182
60,0.311928
60.25,0.312133
60.5,0.311138
60.75,0.310525
61,0.309954
61.25,0.309838
