Time,susceptible_lambda_W
0,0
0.25,0
0.5,0.366566
0.75,0.768584
1,2.06479
1.25,2.47978
1.5,2.77242
1.75,4.43505
2,6.5081
2.25,5.98839
2.5,6.62479
2.75,7.27222
3,7.17538
3.25,7.17126
3.5,7.64957
3.75,7.77204
4,7.09187
4.25,7.11726
4.5,7.72472
4.75,7.68906
5,7.56574
5.25,6.75981
5.5,7.01899
5.75,7.17472
6,9.70971
6.25,11.9008
6.5,12.1526
6.75,6.13049
7,6.24749
7.25,9.31482
7.5,8.93631
7.75,8.58195
8,10.2346
8.25,10.255
8.5,10.077
8.75,10.3799
9,9.82762
9.25,10.802
9.5,10.4119
9.75,10.5785
10,13.1056
10.25,13.128
10.5,12.3409
10.75,13.2326
11,14.751
11.25,11.4476
11.5,12.7658
11.75,12.0819
12,12.6683
12.25,12.5906
12.5,12.681
12.75,12.4842
13,11.1324
13.25,13.878
13.5,13.6018
13.75,15.0413
14,14.9498
14.25,14.7531
14.5,14.6633
14.75,10.0596
15,9.90623
15.25,12.4803
15.5,11.1092
15.75,11.4678
16,11.6786
16.25,12.1594
16.5,13.9246
16.75,12.2495
17,15.8274
17.25,15.8065
17.5,12.7333
17.75,12.9501
18,9.65795
18.25,10.8704
18.5,10.9824
18.75,12.7071
19,13.1922
19.25,14.8461
19.5,15.5183
19.75,17.3892
20,17.1269
20.25,16.9544
20.5,17.8864
20.75,18.9359
21,20.0267
21.25,19.7475
21.5,21.5811
21.75,18.5582
22,17.014
22.25,17.7384
22.5,15.8498
22.75,16.2806
23,19.0843
23.25,18.4995
23.5,19.0589
23.75,18.7227
24,19.8905
24.25,19.8581
24.5,19.6344
24.75,20.2172
25,20.1526
25.25,23.3739
25.5,23.1835
25.75,23.3092
26,23.1141
26.25,22.4642
26.5,21.6058
26.75,18.5104
27,22.0426
27.25,21.1308
27.5,29.6612
27.75,30.0668
28,30.7187
28.25,24.8546
28.5,30.4269
28.75,28.3268
29,32.9829
29.25,30.1004
29.5,32.1711
29.75,32.0658
30,32.604
30.25,31.0702
30.5,30.7618
30.75,29.6104
31,29.953
31.25,29.7208
31.5,24.9767
31.75,27.2778
32,27.2186
32.25,26.909
32.5,27.4267
32.75,27.6326
33,30.0926
33.25,30.1804
33.5,29.7285
33.75,28.932
34,29.4703
34.25,29.6493
34.5,33.0829
34.75,33.7306
35,35.9822
35.25,34.6175
35.5,36.2756
35.75,37.1378
36,38.1139
36.25,38.0599
36.5,36.6244
36.75,37.3804
37,37.8511
37.25,40.8293
37.5,45.7131
37.75,44.5168
38,46.73
38.25,49.3009
38.5,48.8852
38.75,50.7665
39,50.0392
39.25,47.003
39.5,47.0219
39.75,41.7153
40,41.3102
40.25,38.4584
40.5,38.2841
40.75,37.7852
41,40.7351
41.25,40.5018
41.5,44.9768
41.75,47.9216
42,37.5969
42.25,39.9046
42.5,40.6079
42.75,43.3521
43,45.883
43.25,50.2942
43.5,54.2941
43.75,51.4842
44,52.2276
44.25,50.4781
44.5,48.9582
44.75,52.091
45,54.0052
45.25,50.806
45.5,54.7365
45.75,52.0093
46,50.9607
46.25,48.294
46.5,54.1116
46.75,51.6265
47,53.0901
47.25,51.1162
47.5,48.787
47.75,51.69
48,53.2619
48.25,54.522
48.5,59.1063
48.75,55.3918
49,57.2218
49.25,62.21
49.5,64.1806
49.75,67.2987
50,69.0465
50.25,64.5811
50.5,66.6917
50.75,67.6956
51,64.0323
51.25,60.5366
51.5,66
51.75,65.1334
52,68.5207
52.25,71.0194
52.5,74.1604
52.75,72.7996
53,72.5204
53.25,80.0239
53.5,79.0471
53.75,74.8619
54,77.2705
54.25,76.8508
54.5,85.3
54.75,82.2487
55,85.7862
55.25,92.5217
55.5,99.7757
55.75,101.189
56,99.2463
56.25,102.146
56.5,104.362
56.75,106.362
57,112.096
57.25,120.939
57.5,124.371
57.75,123.561
58,125.588
58.25,131.043
58.5,137.138
58.75,138.161
59,142.743
59.25,147.528
59.5,153.025
59.75,155.12
60,139.811
60.25,147.063
60.5,147.546
60.75,139.746
61,136.192
61.25,132.756
61.5,144.305
61.75,147.595
62,147.219
62.25,151.148
62.5,158.785
62.75,161.66
