Time,num_symptomatic
0,0
0.25,0
0.5,3
0.75,5
1,10
1.25,12
1.5,18
1.75,18
2,21
2.25,22
2.5,27
2.75,29
3,31
3.25,33
3.5,33
3.75,34
4,32
4.25,33
4.5,32
4.75,33
5,35
5.25,32
5.5,35
5.75,36
6,36
6.25,36
6.5,37
6.75,34
7,38
7.25,37
7.5,36
7.75,35
8,38
8.25,38
8.5,39
8.75,40
9,36
9.25,36
9.5,36
9.75,36
10,39
10.25,39
10.5,40
10.75,41
11,45
11.25,45
11.5,46
11.75,45
12,46
12.25,44
12.5,40
12.75,43
13,40
13.25,43
13.5,42
13.75,41
14,44
14.25,40
14.5,38
14.75,38
15,41
15.25,42
15.5,40
15.75,44
16,46
16.25,46
16.5,49
16.75,52
17,52
17.25,52
17.5,53
17.75,53
18,56
18.25,54
18.5,54
18.75,54
19,57
19.25,61
19.5,64
19.75,69
20,68
20.25,67
20.5,68
20.75,71
21,73
21.25,79
21.5,77
21.75,73
22,74
22.25,73
22.5,73
22.75,77
23,74
23.25,71
23.5,76
23.75,77
24,82
24.25,80
24.5,77
24.75,80
25,82
25.25,87
25.5,84
25.75,82
26,81
26.25,85
26.5,85
26.75,86
27,88
27.25,84
27.5,89
27.75,92
28,94
28.25,91
28.5,95
28.75,92
29,94
29.25,96
29.5,95
29.75,92
30,91
30.25,90
30.5,90
30.75,89
31,94
31.25,96
31.5,99
31.75,99
32,104
32.25,106
32.5,117
32.75,122
33,122
33.25,124
33.5,123
33.75,123
34,126
34.25,126
34.5,125
34.75,129
35,133
35.25,137
35.5,141
35.75,144
36,148
36.25,147
36.5,142
36.75,143
37,142
37.25,141
37.5,139
37.75,141
38,152
38.25,154
38.5,152
38.75,153
39,153
39.25,156
39.5,160
39.75,163
40,162
40.25,162
40.5,168
40.75,171
41,173
41.25,177
41.5,186
41.75,188
42,193
42.25,194
42.5,197
42.75,196
43,198
43.25,203
43.5,214
43.75,211
44,212
44.25,208
44.5,209
44.75,212
45,213
45.25,226
45.5,226
45.75,221
46,226
46.25,221
46.5,229
46.75,222
47,225
47.25,227
47.5,229
47.75,230
48,230
48.25,245
48.5,242
48.75,238
49,242
49.25,249
49.5,256
49.75,257
50,256
50.25,259
50.5,257
50.75,252
51,257
51.25,260
51.5,266
51.75,264
52,270
52.25,282
52.5,279
52.75,288
53,294
53.25,301
53.5,293
53.75,299
54,296
54.25,294
54.5,297
54.75,288
55,293
55.25,296
55.5,310
55.75,309
56,316
56.25,330
56.5,334
56.75,350
57,353
57.25,360
57.5,370
57.75,389
58,394
58.25,392
58.5,401
58.75,401
59,409
59.25,415
59.5,426
59.75,429
60,434
60.25,446
60.5,452
60.75,461
61,468
61.25,467
61.5,481
61.75,493
62,506
62.25,505
62.5,521
62.75,534
63,539
63.25,560
63.5,568
63.75,582
64,600
64.25,613
64.5,620
64.75,643
65,648
65.25,653
65.5,659
65.75,673
66,690
66.25,684
66.5,679
66.75,679
67,700
67.25,714
67.5,702
67.75,716
68,724
68.25,724
68.5,724
68.75,739
69,757
69.25,786
69.5,789
69.75,810
70,839
70.25,859
70.5,869
70.75,872
71,890
71.25,906
71.5,934
71.75,943
72,951
72.25,975
72.5,994
72.75,994
73,1012
73.25,1029
73.5,1051
73.75,1065
74,1070
74.25,1075
74.5,1084
74.75,1101
75,1104
75.25,1122
75.5,1150
75.75,1164
76,1171
76.25,1182
76.5,1197
76.75,1212
77,1220
77.25,1234
77.5,1293
77.75,1282
78,1294
78.25,1293
78.5,1314
78.75,1339
79,1351
79.25,1379
79.5,1395
79.75,1407
80,1421
80.25,1457
80.5,1478
80.75,1489
81,1491
81.25,1506
81.5,1522
81.75,1563
82,1577
82.25,1592
82.5,1620
82.75,1661
83,1679
83.25,1724
83.5,1745
83.75,1782
84,1782
84.25,1812
84.5,1818
84.75,1818
85,1854
85.25,1898
85.5,1916
85.75,1962
86,2021
86.25,2053
86.5,2081
86.75,2121
87,2145
87.25,2152
87.5,2159
87.75,2189
88,2221
88.25,2276
88.5,2333
88.75,2385
89,2405
89.25,2438
89.5,2481
89.75,2509
90,2545
90.25,2615
90.5,2650
90.75,2665
91,2688
91.25,2742
