Time,mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0.499951
2.25,0
2.5,0
2.75,0.399404
3,0.333187
3.25,0.249943
3.5,0.499923
3.75,0.499179
4,0.499016
4.25,0
4.5,0.832733
4.75,0.599634
5,0.749719
5.25,0.199919
5.5,0.499747
5.75,0.398315
6,0
6.25,0.599609
6.5,0.999954
6.75,0.399966
7,0.497758
7.25,0.331879
7.5,0.399929
7.75,0.199957
8,0.998275
8.25,0
8.5,0.799397
8.75,0.333297
9,0.499902
9.25,0.799144
9.5,0.499889
9.75,0.599616
10,0.499851
10.25,0.997028
10.5,0
10.75,0.999743
11,0.285693
11.25,0
11.5,0.249937
11.75,0.426739
12,0.498981
12.25,0.427768
12.5,0.749354
12.75,0.333214
13,0.499347
13.25,0.333311
13.5,0.570238
13.75,0.599691
14,0.749901
14.25,0.999933
14.5,0.624953
14.75,0.776918
15,0
15.25,0.999919
15.5,0.999043
15.75,0.499878
16,0.286153
16.25,0.499792
16.5,0.622658
16.75,0.749718
17,0.499674
17.25,0.499806
17.5,0.555259
17.75,0.663586
18,0.599599
18.25,0.333105
18.5,0
18.75,0.998417
19,0.428381
19.25,0.399948
19.5,0.358251
19.75,0.831991
20,0.626023
20.25,0.399434
20.5,0.555051
20.75,0.571145
21,0.635924
21.25,0.665065
21.5,0.665274
21.75,0.599389
22,0.874685
22.25,0.498932
22.5,0.500069
22.75,0.430409
23,0.284656
23.25,0.571132
23.5,0.434953
23.75,0.00766847
24,0.748952
24.25,0.832118
24.5,0.460976
24.75,0.399444
25,0.743931
25.25,0.444239
25.5,0.308992
25.75,0.598857
26,0.775788
26.25,0.580623
26.5,0.612245
26.75,0.202876
27,0.43691
27.25,0.495868
27.5,0.282357
27.75,0.663883
28,0.568085
28.25,0.50197
28.5,0.542514
28.75,0.373696
29,0.744373
29.25,0.533155
29.5,0.571099
29.75,0.539621
30,0.598169
30.25,0.780253
30.5,0.597929
30.75,0.59844
31,0.497263
31.25,0.363274
31.5,0.665401
31.75,0.382314
32,0.534388
32.25,0.235069
32.5,0.621348
32.75,0.598456
33,0.639116
33.25,0.519938
33.5,0.416185
33.75,0.352664
34,0.694054
34.25,0.495702
34.5,0.496172
34.75,0.499515
35,0.398685
35.25,0.795943
35.5,0.449609
35.75,0.496164
36,0.565501
36.25,0.361812
36.5,0.521189
36.75,0.432247
37,0.579861
37.25,0.470618
37.5,0.443288
37.75,0.441578
38,0.529179
38.25,0.582035
38.5,0.34667
38.75,0.519194
39,0.539361
39.25,0.496466
39.5,0.419041
39.75,0.624088
40,0.410241
40.25,0.309664
40.5,0.463715
40.75,0.471346
41,0.707586
41.25,0.45851
41.5,0.586432
41.75,0.368487
42,0.503361
42.25,0.51631
42.5,0.3535
42.75,0.584712
43,0.724409
43.25,0.698226
43.5,0.672724
43.75,0.555368
44,0.368447
44.25,0.574231
44.5,0.292588
44.75,0.206008
45,0.433925
45.25,0.590158
45.5,0.516053
45.75,0.480288
46,0.498591
46.25,0.839066
46.5,0.491696
46.75,0.483607
47,0.748071
47.25,0.629866
47.5,0.584989
47.75,0.607056
48,0.36417
48.25,0.558414
48.5,0.564394
48.75,0.517181
49,0.593282
49.25,0.51731
49.5,0.551887
49.75,0.463759
50,0.626847
50.25,0.478985
50.5,0.568124
50.75,0.443166
51,0.355404
51.25,0.639322
51.5,0.471565
51.75,0.316881
52,0.601099
52.25,0.639906
52.5,0.449012
52.75,0.498913
53,0.664434
53.25,0.536998
53.5,0.471803
53.75,0.61575
54,0.479855
54.25,0.583278
54.5,0.54639
54.75,0.542189
55,0.520556
55.25,0.590848
55.5,0.496715
55.75,0.722584
56,0.519573
56.25,0.482566
56.5,0.549774
56.75,0.583528
57,0.417953
57.25,0.506287
57.5,0.584344
57.75,0.530089
58,0.738385
58.25,0.591472
58.5,0.548962
58.75,0.565655
59,0.583874
59.25,0.481528
59.5,0.644431
59.75,0.503466
60,0.58141
60.25,0.516451
60.5,0.611236
60.75,0.646325
61,0.636934
61.25,0.615117
61.5,0.67426
61.75,0.592363
62,0.498088
62.25,0.591003
62.5,0.626261
